Freq.	S11(V2)	S12(V2)	S21(V2)	S22(V2)
1.01882595439312e+09	(-5.73649870548917e+00dB,-1.15355048263338e+02°)	(-2.34890277930956e+01dB,4.90335767968712e+01°)	(2.09832955080443e+01dB,1.10295038576870e+02°)	(-6.10863704258886e+00dB,-5.86597831775761e+01°)
1.01906057474924e+09	(-5.73699602254074e+00dB,-1.15371636792235e+02°)	(-2.34881204242896e+01dB,4.90307024118107e+01°)	(2.09818728008159e+01dB,1.10286221788657e+02°)	(-6.11029931771443e+00dB,-5.86662044681608e+01°)
1.01929524913492e+09	(-5.73749320658468e+00dB,-1.15388226078015e+02°)	(-2.34872131330492e+01dB,4.90278288408240e+01°)	(2.09804498918856e+01dB,1.10277404852513e+02°)	(-6.11196194542797e+00dB,-5.86726249413287e+01°)
1.01952997756260e+09	(-5.73799035889151e+00dB,-1.15404815818118e+02°)	(-2.34863059057241e+01dB,4.90249561439340e+01°)	(2.09790267948677e+01dB,1.10268587828453e+02°)	(-6.11362484589166e+00dB,-5.86790455372867e+01°)
1.01976476004471e+09	(-5.73848741039408e+00dB,-1.15421406145170e+02°)	(-2.34853987426896e+01dB,4.90220844109445e+01°)	(2.09776035093511e+01dB,1.10259770806276e+02°)	(-6.11528807585438e+00dB,-5.86854654958480e+01°)
1.01999959659371e+09	(-5.73898439753285e+00dB,-1.15437997073134e+02°)	(-2.34844916538900e+01dB,4.90192134422343e+01°)	(2.09761800253555e+01dB,1.10250953586353e+02°)	(-6.11695160257096e+00dB,-5.86918853591111e+01°)
1.02023448722206e+09	(-5.73948128779273e+00dB,-1.15454588753919e+02°)	(-2.34835846503728e+01dB,4.90163431180818e+01°)	(2.09747563317973e+01dB,1.10242136048958e+02°)	(-6.11861544981296e+00dB,-5.86983049183149e+01°)
1.02046943194219e+09	(-5.73997806866041e+00dB,-1.15471180648887e+02°)	(-2.34826776640033e+01dB,4.90134744664224e+01°)	(2.09733324967755e+01dB,1.10233319222018e+02°)	(-6.12027964618836e+00dB,-5.87047231069476e+01°)
1.02070443076658e+09	(-5.74047482138901e+00dB,-1.15487773147395e+02°)	(-2.34817707603384e+01dB,4.90106063993865e+01°)	(2.09719084546970e+01dB,1.10224502017660e+02°)	(-6.12194410699904e+00dB,-5.87111417234312e+01°)
1.02093948370767e+09	(-5.74097147692224e+00dB,-1.15504366381177e+02°)	(-2.34808639397425e+01dB,4.90077390068788e+01°)	(2.09704842051616e+01dB,1.10215684525782e+02°)	(-6.12360888903486e+00dB,-5.87175600073382e+01°)
1.02117459077794e+09	(-5.74146803515764e+00dB,-1.15520960344131e+02°)	(-2.34799572014716e+01dB,4.90048722989531e+01°)	(2.09690597488772e+01dB,1.10206866756431e+02°)	(-6.12527399251719e+00dB,-5.87239779490558e+01°)
1.02140975198984e+09	(-5.74196452011239e+00dB,-1.15537554518773e+02°)	(-2.34790504881056e+01dB,4.90020070935693e+01°)	(2.09676351432280e+01dB,1.10198049527563e+02°)	(-6.12693941312440e+00dB,-5.87303950342598e+01°)
1.02164496735585e+09	(-5.74246094410016e+00dB,-1.15554149431019e+02°)	(-2.34781438662677e+01dB,4.89991423831788e+01°)	(2.09662103215548e+01dB,1.10189231831622e+02°)	(-6.12860512258582e+00dB,-5.87368123098607e+01°)
1.02188023688843e+09	(-5.74295726633112e+00dB,-1.15570744877922e+02°)	(-2.34772373020984e+01dB,4.89962787263970e+01°)	(2.09647853176812e+01dB,1.10180414227219e+02°)	(-6.13027116371902e+00dB,-5.87432288627888e+01°)
1.02211556060006e+09	(-5.74345352324207e+00dB,-1.15587340873739e+02°)	(-2.34763308055361e+01dB,4.89934159236867e+01°)	(2.09633601216328e+01dB,1.10171596514812e+02°)	(-6.13193750367870e+00dB,-5.87496452350951e+01°)
1.02235093850322e+09	(-5.74394964578598e+00dB,-1.15603937549437e+02°)	(-2.34754243769438e+01dB,4.89905540648845e+01°)	(2.09619347330105e+01dB,1.10162778784231e+02°)	(-6.13360419937134e+00dB,-5.87560606662827e+01°)
1.02258637061039e+09	(-5.74444574348515e+00dB,-1.15620534959166e+02°)	(-2.34745180475823e+01dB,4.89876925316851e+01°)	(2.09605091205176e+01dB,1.10153960417166e+02°)	(-6.13527115165386e+00dB,-5.87624768011209e+01°)
1.02282185693404e+09	(-5.74494173071264e+00dB,-1.15637132527107e+02°)	(-2.34736117280940e+01dB,4.89848327697715e+01°)	(2.09590833734757e+01dB,1.10145142859294e+02°)	(-6.13693845574049e+00dB,-5.87688914719336e+01°)
1.02305739748666e+09	(-5.74543765633932e+00dB,-1.15653730797673e+02°)	(-2.34727054957043e+01dB,4.89819735627639e+01°)	(2.09576574146235e+01dB,1.10136324894232e+02°)	(-6.13860605001312e+00dB,-5.87753062761194e+01°)
1.02329299228075e+09	(-5.74593348371983e+00dB,-1.15670329744811e+02°)	(-2.34717993390074e+01dB,4.89791151300746e+01°)	(2.09562312553308e+01dB,1.10127506741387e+02°)	(-6.14027396783913e+00dB,-5.87817206527131e+01°)
1.02352864132878e+09	(-5.74642921275091e+00dB,-1.15686929362542e+02°)	(-2.34708932572659e+01dB,4.89762574816911e+01°)	(2.09548048962989e+01dB,1.10118688410740e+02°)	(-6.14194220945672e+00dB,-5.87881345921948e+01°)
1.02376434464327e+09	(-5.74692490810663e+00dB,-1.15703529332871e+02°)	(-2.34699872262326e+01dB,4.89734008864528e+01°)	(2.09533783617392e+01dB,1.10109870171127e+02°)	(-6.14361072796434e+00dB,-5.87945484847151e+01°)
1.02400010223669e+09	(-5.74742050489923e+00dB,-1.15720129962354e+02°)	(-2.34690812686866e+01dB,4.89705450953829e+01°)	(2.09519516288363e+01dB,1.10101051773566e+02°)	(-6.14527957072973e+00dB,-5.88009619212554e+01°)
1.02423591412156e+09	(-5.74791599472096e+00dB,-1.15736730893005e+02°)	(-2.34681753390816e+01dB,4.89676907958540e+01°)	(2.09505247431008e+01dB,1.10092233905425e+02°)	(-6.14694875731474e+00dB,-5.88073741895172e+01°)
1.02447178031037e+09	(-5.74841142645912e+00dB,-1.15753332667513e+02°)	(-2.34672695145610e+01dB,4.89648367723050e+01°)	(2.09490976273532e+01dB,1.10083415351139e+02°)	(-6.14861822577018e+00dB,-5.88137868856897e+01°)
1.02470770081564e+09	(-5.74890675516506e+00dB,-1.15769934907809e+02°)	(-2.34663637389248e+01dB,4.89619839213844e+01°)	(2.09476703377575e+01dB,1.10074597007351e+02°)	(-6.15028802888527e+00dB,-5.88201987462038e+01°)
